,date_time,ticker,headline,neg,neu,pos,compound
0,2020-09-25 09:25:00,TSLA,"Is Tesla Stock A Buy Right Now? Here's What Earnings, Charts Show",0.0,1.0,0.0,0.0
1,2020-09-25 08:16:00,TSLA,Dow Jones Futures Fall: Look For This Bullish Stock Market Signal; Tech Titans Hold Key Support,0.0,0.847,0.153,0.4019
2,2020-09-25 08:00:00,TSLA,2 High-Risk Stocks Robinhood Investors Should Avoid Like the Plague,0.188,0.598,0.214,0.0772
3,2020-09-25 07:31:00,TSLA,The Company Tesla Should Worry About in 2021,0.293,0.7070000000000001,0.0,-0.4404
4,2020-09-24 20:57:00,TSLA,"Getting Real About Electric Cars,  Batteries and Hype",0.0,1.0,0.0,0.0
5,2020-09-24 19:07:00,TSLA,"Electrified by Tesla, Chinese startups are on the charge",0.0,1.0,0.0,0.0
7,2020-09-24 19:00:00,TSLA,"INSIGHT-Electrified by Tesla, Chinese startups are on the charge",0.0,1.0,0.0,0.0
8,2020-09-24 17:09:00,TSLA,Tesla Readies For Cybertruck With Larger Supercharger Stalls,0.0,1.0,0.0,0.0
9,2020-09-24 16:29:00,TSLA,Embattled Nikola Gets Its First Sell Rating From Wall Street,0.0,1.0,0.0,0.0
10,2020-09-24 16:25:00,TSLA,Tesla Inc. stock outperforms competitors on strong trading day,0.0,0.708,0.292,0.5106
11,2020-09-24 16:22:00,TSLA,Dow Jones Finishes Higher After Weak Jobless Claims Report As Tesla Shows This Bullish Chart Action,0.162,0.838,0.0,-0.4404
12,2020-09-24 16:06:00,TSLA,EV Charging Station Leader Backed By Top Tesla Investor To Go Public,0.0,0.775,0.225,0.2263
13,2020-09-24 16:05:00,TSLA,Nikola Stock Meltdown Continues As Key Bull On Wall Street Reverses,0.0,1.0,0.0,0.0
14,2020-09-24 15:40:00,TSLA,INTERVIEW: XL Fleets SPAC Shows that Sales Matter in the $1 Trillion EV Market,0.0,0.922,0.078,0.0258
15,2020-09-24 15:31:00,TSLA,Tesla Accuses Nikola Of Copying Truck Design: Report,0.255,0.745,0.0,-0.34
16,2020-09-24 15:06:00,TSLA,California Is Banning Polluting Cars. Electric-Vehicle Stocks Will Need More Than That.,0.0,1.0,0.0,0.0
17,2020-09-24 14:59:00,TSLA,Tesla's stock bounces sharply after brief early dip below key technical level,0.0,1.0,0.0,0.0
18,2020-09-24 14:57:00,TSLA,Why Tesla's Record Vehicle Deliveries Sounds Better Than Analyst Might Think,0.0,0.775,0.225,0.4404
19,2020-09-24 14:46:00,TSLA,"DraftKings Is Poised for Hyper-Growth. Why Its Stock Could Be Like Tesla, Amazon, and Netflix.",0.0,0.659,0.341,0.6369
20,2020-09-24 13:46:00,TSLA,"Tesla Stock Will Surge 27% to $500, According to This Analyst",0.0,1.0,0.0,0.0
21,2020-09-24 13:38:00,TSLA,Here are two stocks that stand to benefit from Californias electric-vehicle push,0.0,0.7859999999999999,0.214,0.4588
22,2020-09-24 13:35:00,TSLA,Dow Jones Roars Back From Big Early Dive As Stocks Shrug Off Jobs Data,0.0,1.0,0.0,0.0
23,2020-09-24 13:20:00,TSLA,"Dow Jones Advances 250 Points, As Apple, Tesla Snap Back; Nikola Plummets 23% On Downgrade",0.0,1.0,0.0,0.0
24,2020-09-24 12:32:00,TSLA,Disappointed by Teslas Battery Day? The electric-car maker has been winning by playing the long game,0.146,0.61,0.244,0.2732
25,2020-09-24 12:28:00,TSLA,California Governor Gavin Newsom's ban on new gas cars in 2035 may wallop drivers' wallets: analyst,0.19399999999999998,0.8059999999999999,0.0,-0.5574
26,2020-09-24 11:07:00,TSLA,California moves to ban gas-powered cars,0.419,0.581,0.0,-0.5574
27,2020-09-24 11:02:00,TSLA,How Far Could Tesla Fall in This Weak Market?,0.266,0.7340000000000001,0.0,-0.4404
28,2020-09-24 11:00:00,TSLA,"Look Out Tesla, Volkswagen and the Big Boys Are Coming for You",0.0,1.0,0.0,0.0
29,2020-09-24 10:51:00,TSLA,Why Tesla Stock Fell Nearly 8% This Morning,0.0,1.0,0.0,0.0
30,2020-09-24 10:41:00,TSLA,"Here's why Tesla's stock tumbled after Battery Day, and why analysts are still bullish",0.0,1.0,0.0,0.0
31,2020-09-24 10:00:00,TSLA,Is the Market Crashing? 4 Stocks You Can Buy Right Now,0.0,1.0,0.0,0.0
32,2020-09-24 09:58:00,TSLA,"Dow Jones Today, Stocks Rebound Off Opening Lows; Tesla Drags On Nasdaq; Jefferies Financial, Owens & Minor Spike",0.18899999999999997,0.8109999999999999,0.0,-0.3612
33,2020-09-24 09:58:00,TSLA,Nikola Gets First Sell Rating as Dark Cloud Gathers,0.0,1.0,0.0,0.0
34,2020-09-24 09:45:00,TSLA,Better Buy: Tesla vs. Ford,0.0,0.58,0.42,0.4404
35,2020-09-24 09:20:00,TSLA,Banning Gas-Powered Cars Can't Happen Soon Enough,0.0,1.0,0.0,0.0
36,2020-09-24 09:14:00,TSLA,Trump: Major carmakers sue US government over China tax,0.0,1.0,0.0,0.0
37,2020-09-24 08:59:00,TSLA,US STOCKS-Wall Street set to open lower as labor market recovery cools,0.16699999999999998,0.833,0.0,-0.29600000000000004
38,2020-09-24 08:24:00,TSLA,"CarMax Stock Gains, Nikola Plunges, and the Dow Is Wavering",0.133,0.667,0.2,0.2023
39,2020-09-24 08:21:00,TSLA,Dow Jones Futures: Stock Market Sells Off Bearishly; Tesla Extends Battery Day Dive,0.0,0.889,0.111,0.128
40,2020-09-24 07:58:00,TSLA,Tesla (TSLA) Falls as Analysts Digest Battery Day,0.0,1.0,0.0,0.0
41,2020-09-24 06:36:00,TSLA,"Nikola's stock tumbles after Wedbush's Ives turns bearish, slashes price target",0.153,0.847,0.0,-0.2023
42,2020-09-24 05:00:00,TSLA,Electric vehicle charging network ChargePoint to go public at $2.4 bln valuation,0.0,1.0,0.0,0.0
43,2020-09-23 22:46:00,TSLA,Volkswagen All-Electric ID.4 SUV To Sell For $40K In US,0.0,1.0,0.0,0.0
44,2020-09-23 22:09:00,TSLA,"Factbox: Tesla could struggle to implement some of its battery advances, experts say",0.161,0.8390000000000001,0.0,-0.3182
45,2020-09-23 21:31:00,TSLA,"China Has a New Richest Person, With Jack Ma Dethroned",0.0,0.7020000000000001,0.298,0.5267
46,2020-09-23 21:18:00,TSLA,Tesla Sues Trump Administration Over Tariffs On Chinese Imports,0.0,1.0,0.0,0.0
